日期,管制站,入境 / 出境,香港居民,内地访客,其他访客,总计
2019-04-05,落马洲支线,出境,64797,45106,793,110696
2019-04-05,港珠澳大桥,入境,21630,13976,5692,41298
2019-04-05,港珠澳大桥,出境,30200,17421,5440,53061
2019-04-05,落马洲,入境,31161,12980,1262,45403
2019-04-05,落马洲,出境,31262,12183,832,44277
2019-04-05,文锦渡,入境,2251,4203,91,6545
2019-04-05,文锦渡,出境,2772,2678,61,5511
2019-04-05,沙头角,入境,4227,2097,165,6489
2019-04-05,沙头角,出境,5077,1289,78,6444
2019-04-05,深圳湾,入境,40928,40828,2188,83944
2019-04-05,深圳湾,出境,49773,34222,1506,85501
2019-04-05,中国客运码头,入境,3607,3088,1632,8327
2019-04-05,中国客运码头,出境,7095,2258,1601,10954
2019-04-05,港口管制,入境,23,0,140,163
2019-04-05,港口管制,出境,1,4,6,11
2019-04-05,启德邮轮码头,入境,1071,3598,870,5539
2019-04-05,启德邮轮码头,出境,3543,3971,344,7858
2019-04-05,港澳客轮码头,入境,13230,2094,5888,21212
2019-04-05,港澳客轮码头,出境,14860,2114,3883,20857
2019-04-05,屯门客运码头,入境,1190,21,61,1272
2019-04-05,屯门客运码头,出境,1500,21,34,1555
2019-04-06,机场,入境,33868,11514,25451,70833
2019-04-06,机场,出境,26966,12658,25204,64828
2019-04-06,高铁西九龙,入境,13517,32986,1439,47942
2019-04-06,高铁西九龙,出境,8403,29049,1166,38618
2019-04-06,红磡,入境,3099,1630,348,5077
2019-04-06,红磡,出境,2222,2039,378,4639
2019-04-06,罗湖,入境,107995,46596,2360,156951
2019-04-06,罗湖,出境,91518,58985,2567,153070
2019-04-06,落马洲支线,入境,49496,57220,1021,107737
2019-04-06,落马洲支线,出境,51143,57912,986,110041
2019-04-06,港珠澳大桥,入境,20781,15792,4833,41406
2019-04-06,港珠澳大桥,出境,19254,17894,4790,41938
2019-04-06,落马洲,入境,29620,11672,814,42106
2019-04-06,落马洲,出境,23474,12666,1073,37213
2019-04-06,文锦渡,入境,2001,4264,35,6300
2019-04-06,文锦渡,出境,2013,3294,38,5345
2019-04-06,沙头角,入境,3069,1996,130,5195
2019-04-06,沙头角,出境,2685,1553,164,4402
2019-04-06,深圳湾,入境,37567,41015,1942,80524
2019-04-06,深圳湾,出境,30135,42571,2256,74962
2019-04-06,中国客运码头,入境,4514,2796,1679,8989
2019-04-06,中国客运码头,出境,3318,3523,1667,8508
2019-04-06,港口管制,入境,8,0,46,54
2019-04-06,港口管制,出境,1,2,12,15
2019-04-06,启德邮轮码头,入境,624,339,35,998
